Class,Precision,Recall,F1-Score,Specificity,seed
S,0.7272727272727273,0.026333113890717578,0.05082592121982211,0.9991672218520986,23
V,0.5246102109446652,0.8179218303145853,0.639225181598063,0.9108013537543739,23
N,0.9153146022952117,0.9970364782585268,0.9544294003868472,0.5785327424913835,24
Q,0.9755922469490309,0.7446575342465753,0.8446239900559354,0.9983650702058088,24
S,0.0,0.0,0.0,1.0,24
V,0.9594861660079052,0.45931882686849573,0.6212412028150992,0.9980006826937143,24
N,0.9060022650056625,0.6651226319852723,0.7670970172254374,0.8050662640496561,25
Q,0.999126383226558,0.8797435897435898,0.9356422143441505,0.9998412698412699,25
S,0.002150537634408602,0.1590909090909091,0.004243710215216732,0.8572684127263139,25
V,0.3344891971192318,0.6217154189390184,0.43496357960457854,0.8799499591011885,25
N,0.8994271164863145,0.9858556387162248,0.9406602717341968,0.4895741556534508,26
Q,0.8779504893494531,0.8397577092511013,0.858429496200394,0.9877845001440507,26
S,0.044444444444444446,0.018867924528301886,0.026490066225165563,0.9977445580907423,26
V,0.9907407407407407,0.07215104517869184,0.1345065996228787,0.9999434644957033,26
N,0.8002863609071175,0.9936345911228351,0.8865409706055412,0.04336283185840708,27
Q,0.4852941176470588,0.013469387755102041,0.026211278792692614,0.998205864260816,27
S,0.0,0.0,0.0,1.0,27
V,0.6150627615062761,0.10492505353319058,0.17926829268292682,0.9955246388091648,27
N,0.9239060929935142,0.9944936086529007,0.957901217028934,0.026300409117475162,28
Q,0.0,0.0,0.0,0.9999092723643622,28
S,0.02197802197802198,0.011560693641618497,0.015151515151515152,0.9959319864704269,28
V,0.265625,0.011103853690398433,0.021316614420062698,0.9977095516569201,28
N,0.7548881164457962,0.9772199957814807,0.8517848935192278,0.22881066302118933,29
Q,0.9482758620689655,0.12959472196041472,0.22802653399668324,0.9991644850442823,29
S,0.0,0.0,0.0,0.9997304436896868,29
V,0.743421052631579,0.4614337568058076,0.5694288913773796,0.9803592412288065,29
N,0.9290890269151139,0.9274089382588478,0.9282482223658695,0.686409155937053,30
Q,0.9725130890052356,0.82281284606866,0.8914217156568687,0.9975543003552088,30
S,0.025193798449612403,0.09774436090225563,0.040061633281972264,0.9462405814139903,30
V,0.8151609553478713,0.5516514406184118,0.6580050293378038,0.9898610161768057,30
N,0.9396844417815059,0.9913611462284029,0.9648313339485287,0.030497592295345103,31
Q,0.0,0.0,0.0,0.9927256532066508,31
S,0.16666666666666666,0.020689655172413793,0.03680981595092025,0.9992531740104555,31
