Class,Precision,Recall,F1-Score,Specificity,seed
S,0.75,0.011111111111111112,0.021897810218978103,0.9999065857076133,16
V,0.7937384898710865,0.3013986013986014,0.43689812468322353,0.9945419103313841,16
N,0.8992021408394866,0.9961023276240668,0.9451751530147154,0.45527584359935724,17
Q,0.9877609791216703,0.7777777777777778,0.8702822708531557,0.9991578321609036,17
S,0.0,0.0,0.0,1.0,17
V,0.8010471204188482,0.213986013986014,0.33774834437086093,0.9962962962962963,17
N,0.8940175981910239,0.9984079929732104,0.9433335926761586,0.4226031065881093,18
Q,0.9839357429718876,0.8333333333333334,0.9023941068139963,0.9988110571683345,18
S,1.0,0.001851851851851852,0.0036968576709796672,1.0,18
V,0.8839285714285714,0.06923076923076923,0.12840466926070038,0.9993664717348928,18
N,0.9009807338079355,0.993522178304787,0.9449912539487768,0.467327262988752,19
Q,0.9528957528957529,0.699546485260771,0.8067996077149395,0.9969781036361834,19
S,0.0,0.0,0.0,1.0,19
V,0.8556338028169014,0.33986013986013985,0.4864864864864865,0.9960038986354776,19
N,0.8968039274621782,0.9827624066754501,0.9378175912829378,0.44831280128548473,20
Q,0.8405390230207749,0.8486394557823129,0.8445698166431593,0.9859308431586248,20
S,0.0,0.0,0.0,1.0,20
V,0.7053140096618358,0.1020979020979021,0.17837507635919364,0.997027290448343,20
N,0.9281134337694834,0.9773825208607817,0.9521110190112035,0.6306909480449919,21
Q,0.8792298716452742,0.8543083900226758,0.8665899942495687,0.989745368076885,21
S,0.0,0.0,0.0,1.0,21
V,0.7264957264957265,0.534965034965035,0.6161900926298832,0.9859649122807017,21
N,0.9460105371788604,0.9561374615722442,0.9510470417997652,0.7337975361542581,22
Q,0.903244837758112,0.8679138321995464,0.885226944203527,0.9918755573169523,22
S,0.0,0.0,0.0,1.0,22
V,0.5677874186550976,0.7321678321678322,0.6395846059865608,0.9611598440545809,22
N,0.9079094324296882,0.98177426438296,0.9433982170174605,0.5141938939475094,23
Q,0.9987261146496815,0.4444444444444444,0.6151431934091801,0.9999504607153473,23
S,0.0,0.0,0.0,1.0,23
V,0.7102931152010906,0.7286713286713287,0.7193648602002071,0.9792884990253411,23
N,0.9173089181201831,0.8690162494510321,0.8925097961830124,0.6178361006963042,24
Q,0.4467034562881208,0.8718820861678005,0.5907432302669483,0.90562766273655,24
S,0.0,0.0,0.0,1.0,24
V,0.4944,0.43216783216783217,0.46119402985074626,0.9692007797270955,24
N,0.8753846153846154,0.9995608256477821,0.9333606725445971,0.30583824317086233,25
Q,0.9882777276825969,0.6213151927437641,0.7629655412460842,0.9993559892995145,25
S,0.0,0.0,0.0,1.0,25
V,0.926829268292683,0.026573426573426574,0.05166553365057784,0.9998538011695907,25
N,0.9489075259324652,0.9441150636802811,0.946505228398459,0.7520085698982325,26
Q,0.958118556701031,0.8429705215419501,0.8968636911942099,0.9967799464975726,26
